,strikePrice,expiryDate,CE.underlying,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,PE.underlying,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue
0,640,28-Dec-2023,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,38400,42400,2400,154.2,4000,166.45,793.2,ADANIPORTS,2,1,100.0,7,41.54,1.5,-0.5499999999999998,-26.829268292682922,12000,66400,8000,0.3,2400,2.5,793.2
1,650,28-Dec-2023,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,38400,42400,2400,145.25,4000,155.85,793.2,ADANIPORTS,45,3,7.142857142857143,11,39.14,1.5,-0.1499999999999999,-9.090909090909086,46400,35200,800,1.25,800,1.6,793.2
2,660,28-Dec-2023,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,40800,38400,2400,133.1,32000,159.95,793.2,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,4000,0,800,0.15,0,0.0,793.2
3,670,28-Dec-2023,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,40800,40800,2400,123.7,2400,139.85,793.2,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,4000,32000,800,0.15,32000,5.75,793.2
4,680,28-Dec-2023,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,40800,40800,2400,114.6,2400,130.45,793.2,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,4000,32000,800,0.15,32000,6.95,793.2
5,690,28-Dec-2023,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,40800,38400,2400,98.55,32000,131.65,793.2,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,4000,0,800,0.15,0,0.0,793.2
6,700,28-Dec-2023,ADANIPORTS,4,0,0.0,3,32.46,103.0,-10.549999999999997,-9.291061206516952,48000,44800,9600,97.6,2400,104.75,793.2,ADANIPORTS,291,28,10.64638783269962,81,34.32,3.85,-0.3500000000000001,-8.333333333333336,71200,70400,1600,3.65,6400,3.85,793.2
7,710,28-Dec-2023,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,40800,40800,2400,83.8,2400,109.8,793.2,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,4000,32000,800,0.15,32000,15.4,793.2
8,720,28-Dec-2023,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,40800,42400,2400,76.25,4000,92.85,793.2,ADANIPORTS,6,0,0.0,0,0.0,9.05,0.0,0.0,40800,35200,800,2.9,1600,9.05,793.2
9,730,28-Dec-2023,ADANIPORTS,0,0,0.0,0,0.0,0.0,0.0,0.0,42400,42400,4000,66.85,4000,86.6,793.2,ADANIPORTS,13,-2,-13.333333333333334,4,31.64,6.85,3.2499999999999996,90.27777777777777,76800,64000,800,2.0,32000,12.0,793.2
